STEP 0; EVENT position; UNIT rover-1; POSITION Coordinate[X=8, Y=6];
STEP 405; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=15, Y=5];
STEP 406; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 406; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=8];
STEP 406; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-3; POSITION Coordinate[X=15, Y=5];
STEP 407; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=5];
STEP 407; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=9];
STEP 407; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=15, Y=5];
STEP 408; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 408; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 408; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=14, Y=5];
STEP 409; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 409; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 409; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=13, Y=5];
STEP 410; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 410; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 410; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=12, Y=5];
STEP 411; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=12, Y=6];
STEP 411; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=8, Y=10];
STEP 411; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=11, Y=5];
STEP 412; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=13, Y=6];
STEP 412; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=9, Y=10];
STEP 412; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=11, Y=6];
STEP 413; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=6];
STEP 413; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=10, Y=10];
STEP 413; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-3; POSITION Coordinate[X=11, Y=6];
STEP 414; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=5];
STEP 414; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=11, Y=10];
STEP 414; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=11, Y=6];
STEP 414; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=7];
STEP 415; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=4];
STEP 415; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=11, Y=9];
STEP 415; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=12, Y=6];
STEP 415; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-4; POSITION Coordinate[X=10, Y=7];
STEP 416; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=3];
STEP 416; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=11, Y=8];
STEP 416; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=13, Y=6];
STEP 416; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-4; POSITION Coordinate[X=10, Y=7];
STEP 417; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 417; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-2; POSITION Coordinate[X=11, Y=8];
STEP 417; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=14, Y=6];
STEP 417; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=7];
STEP 418; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 418; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=11, Y=8];
STEP 418; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=15, Y=6];
STEP 418; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=7];
STEP 419; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=14, Y=2];
STEP 419; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=10, Y=8];
STEP 419; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=15, Y=5];
STEP 419; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-4; POSITION Coordinate[X=10, Y=7];
STEP 420; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=13, Y=2];
STEP 420; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=9, Y=8];
STEP 420; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-3; POSITION Coordinate[X=15, Y=5];
STEP 420; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-4; POSITION Coordinate[X=10, Y=7];
STEP 421; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=12, Y=2];
STEP 421; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=8, Y=8];
STEP 421; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=15, Y=5];
STEP 421; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=7];
STEP 422; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=2];
STEP 422; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=8];
STEP 422; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=14, Y=5];
STEP 422; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=7];
STEP 423; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=3];
STEP 423; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=9];
STEP 423; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=13, Y=5];
STEP 423; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-4; POSITION Coordinate[X=10, Y=7];
STEP 424; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=4];
STEP 424; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 424; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=12, Y=5];
STEP 424; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-4; POSITION Coordinate[X=10, Y=7];
STEP 425; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=5];
STEP 425; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 425; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=11, Y=5];
STEP 425; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=7];
STEP 426; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 426; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=7, Y=10];
STEP 426; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-3; POSITION Coordinate[X=11, Y=6];
STEP 426; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-4; POSITION Coordinate[X=10, Y=7];
STEP 427; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 427; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=8, Y=10];
STEP 427; EVENT OUTCOME COLONIZABLE; STATUS DEPOSIT_RESOURCE; UNIT rover-3; POSITION Coordinate[X=11, Y=6];
STEP 427; EVENT OUTCOME COLONIZABLE; STATUS EXTRACT; UNIT rover-4; POSITION Coordinate[X=10, Y=7];
STEP 428; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-1; POSITION Coordinate[X=11, Y=6];
STEP 428; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-2; POSITION Coordinate[X=9, Y=10];
STEP 428; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-3; POSITION Coordinate[X=11, Y=6];
STEP 428; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_BASE; UNIT rover-4; POSITION Coordinate[X=10, Y=7];
STEP 428; EVENT OUTCOME COLONIZABLE; STATUS GO_TO_RESOURCE; UNIT rover-5; POSITION Coordinate[X=10, Y=7];
